date,active_services
2024-11-17,['1703-3']
2024-11-18,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']"
2024-11-19,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-11-20,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-11-21,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-11-22,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-11-23,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']"
2024-11-24,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']"
2024-11-25,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']"
2024-11-26,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-11-27,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-11-28,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-11-29,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-11-30,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']"
2024-12-01,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']"
2024-12-02,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']"
2024-12-03,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-12-04,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-12-05,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-12-06,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-12-07,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']"
2024-12-08,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']"
2024-12-09,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']"
2024-12-10,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-12-11,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-12-12,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-12-13,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-12-14,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']"
2024-12-15,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']"
2024-12-16,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']"
2024-12-17,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-12-18,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-12-19,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']"
2024-12-20,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']"
2024-12-21,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']"
2024-12-22,['1703-f776e9e3c74629a49deff4fd3897b45f']
